Substrate Thickness (mm),Patch Length (mm),Patch Width (mm),Dielectric Constant ,Substrate,Return Loss (dB),VSWR
0.8,23.43,30.43,4.4,FR-4,-15.61,1.39
1.2,23.43,30.43,4.4,FR-4,-16.21,1.38
1.6,23.43,30.43,4.4,FR-4,-7.28,2.55
2,23.43,30.43,4.4,FR-4,-10.46,1.88
2.4,23.43,30.43,4.4,FR-4,-15.71,1.39
2.8,23.43,30.43,4.4,FR-4,-24.21,1.13
3.2,23.43,30.43,4.4,FR-4,-28.25,1.11
0.8,23.43,30.43,2.2,Rogers RT,-8.52,2.2
1.2,23.43,30.43,2.2,Rogers RT,-6.31,2.87
1.6,23.43,30.43,2.2,Rogers RT,-4.93,3.61
2,23.43,30.43,2.2,Rogers RT,-8.35,2.24
2.4,23.43,30.43,2.2,Rogers RT,-14.94,1.5
2.8,23.43,30.43,2.2,Rogers RT,-33.84,1.07
3.2,23.43,30.43,2.2,Rogers RT,-17.17,1.53
